FECHA,VALOR
44200,19.9087
44201,19.8457
44202,19.9437
44203,19.725
44204,19.91
44207,19.9705
44208,20.113
44209,19.9373
44210,19.7935
44211,19.7793
44214,19.7875
44215,19.757
44216,19.6788
44217,19.5793
44218,19.7393
44221,19.9833
44222,20.1598
44223,20.0152
44224,20.2168
44225,20.2697
44229,20.2248
44230,20.1722
44231,20.1953
44232,20.4435
44235,20.1388
44236,20.1227
44237,20.0913
44238,20.0588
44239,19.9535
44242,19.9622
44243,19.9518
44244,20.2023
44245,20.2257
44246,20.4165
44249,20.4222
44250,20.6783
44251,20.5833
44252,20.4752
44253,20.8523
44256,20.939
44257,20.6123
44258,20.6903
44259,20.8957
44260,20.8498
44263,21.2635
44264,21.4177
44265,21.2575
44266,20.9853
44267,20.7133
44271,20.7637
44272,20.5753
44273,20.6828
44274,20.4415
44277,20.4823
44278,20.5788
44279,20.6408
44280,20.7882
44281,20.7662
44284,20.5677
44285,20.6047
44286,20.6025
44291,20.44
44292,20.2483
44293,20.1612
44294,20.1765
44295,20.089
44298,20.163
44299,20.095
44300,20.0735
44301,20.0583
44302,19.927
44305,19.9158
44306,19.8145
44307,19.8877
44308,19.874
44309,19.8865
44312,19.8695
44313,19.8362
44314,19.9785
44315,19.9712
44316,20.0978
44319,20.1822
44320,20.1902
44321,20.2235
44322,20.2077
44323,20.1838
44326,19.9223
44327,19.886
44328,19.8848
44329,20.094
44330,20.0495
44333,19.8487
44334,19.8028
44335,19.8313
44336,19.8143
44337,19.881
44340,19.951
44341,19.872
44342,19.8903
44343,19.8783
44344,19.9487
44347,19.9442
44348,19.9213
44349,19.8927
44350,19.9277
44351,20.0605
44354,19.9328
44355,19.797
44356,19.7728
44357,19.6897
44358,19.7002
44361,19.8823
44362,19.9065
44363,20.1235
44364,20.0588
44365,20.4292
44368,20.7002
44369,20.6
44370,20.5712
44371,20.2505
44372,20.0483
44375,19.793
44376,19.8027
44377,19.8157
44378,19.9062
44379,20.0368
44382,19.8817
44383,19.8532
44384,19.9658
44385,19.9915
44386,20.007
